Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,,,,*WL,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Argentina,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Azerbaijan,WL,*,,,,,,,,,,,,
Bahamas,WL,WL,*,,,,,,,,,,,
Barbados,,,,,,,,,*WL,WL,WL,WL,WL,WL
Belarus,WL,WL,WL,WL,WL,WL,WL,WL,WL,*,*WL,*,,
Belize,WL,*PWL,*WL,*,,,,,,,,,,
Bolivia,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Brazil,PWL,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Brunei,,,,,*WL,WL,WL,WL,*,,,,,
Bulgaria,WL,WL,*,,,,,,*WL,WL,WL,WL,WL,
Canada,WL,WL,WL,WL,*PWL,PWL,PWL,PWL,*WL,WL,WL,WL,WL,PWL
Chile,WL,WL,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
China,,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Colombia,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,PWL
Costa Rica,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Croatia,WL,WL,*,,,,,,,,,,,
Czech Republic,,,,*WL,WL,*,,,,,,,,
Dominican Republic,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Ecuador,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,*PWL,*WL,WL,WL
Egypt,PWL,PWL,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
European Union,WL,WL,*,,,,,,,,,,,
Finland,,,,,*WL,WL,WL,WL,WL,WL,*,,,
Greece,,,,*WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Guatemala,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Hungary,WL,WL,WL,WL,WL,*,,,,,,,,
India,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Indonesia,PWL,PWL,*WL,WL,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Israel,PWL,PWL,PWL,PWL,PWL,*Pending,*PWL,PWL,*WL,*,,,,
Italy,WL,WL,WL,WL,WL,WL,WL,WL,WL,*,,,,
Jamaica,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Kuwait,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,WL,*PWL,PWL,PWL,PWL
Kazakhstan,WL,*,,,,,,,,,,,,
Latvia,WL,WL,*,,,,,,,,,,,
Lebanon,PWL,PWL,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Lithuania,WL,WL,WL,*,,,,,,,,,,
Malaysia,WL,WL,WL,WL,WL,WL,WL,*,,,,,,
Mexico,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Norway,,,,WL,WL,WL,WL,WL,*,,,,,
Pakistan,PWL,*WL,WL,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,*WL,WL,WL
Paraguay,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,*WL,WL,WL,*,,
Peru,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Philippines,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,*,,,,
Poland,WL,WL,WL,WL,WL,*,,,,,,,,
Romania,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Russia,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Saudi Arabia,WL,WL,WL,WL,WL,*,,,,,,,,WL
Slovakia,WL,*,,,,,,,,,,,,
South Korea,WL,WL,WL,WL,*,,,,,,,,,
Spain,,,,*WL,WL,WL,WL,*,,,,,,
Switzerland,,,,,,,,,,,,*WL,WL,WL
Taiwan,WL,WL,WL,WL,*,,,,,,,,,
Tajikistan,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,*,,WL
Thailand,WL,WL,*PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,WL
Trinidad and Tobago,,,,,,,,,*WL,WL,WL,*,,
Turkey,PWL,PWL,PWL,*WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Turkmenistan,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Ukraine,PFC,*PWL,PWL,*WL,WL,WL,WL,*PWL,*PFC,PFC,*PWL,PWL,PWL,PWL
United Arab Emirates,,,,,,,,,,,,,,WL
Uruguay,WL,*,,,,,,,,,,,,
Uzbekistan,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL
Venezuela,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL,PWL
Vietnam,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL,WL